,Planet Name,Host Name,Orbital Period,Discovery Method,Semi-Major Axis (AU),Eccentricity,Radius (R_earth),Mass or Mass * sin(i) (M_earth),Stellar Mass (M_sun)
21,2MASS J19383260+4603591 b,2MASS J19383260+4603591,406.0,Eclipse Timing Variations,0.92,0.33,13.4,603.877,0.48
27,47 UMa b,47 UMa,1078.0,Radial Velocity,2.1,0.032,13.2,804.08,1.06
28,47 UMa c,47 UMa,2391.0,Radial Velocity,3.6,0.098,14.2,171.621,1.06
29,47 UMa d,47 UMa,14002.0,Radial Velocity,11.6,0.16,13.5,521.22,1.06
32,55 Cnc b,55 Cnc,14.6516,Radial Velocity,0.1134,0.0,13.9,263.9785,0.91
33,55 Cnc c,55 Cnc,44.3989,Radial Velocity,0.2373,0.03,8.51,54.4738,0.91
34,55 Cnc d,55 Cnc,5574.2,Radial Velocity,5.957,0.13,13.0,1232.493,0.91
35,55 Cnc e,55 Cnc,0.7365474,Radial Velocity,0.01544,0.05,1.875,7.99,0.91
36,55 Cnc f,55 Cnc,259.88,Radial Velocity,0.7708,0.08,7.59,44.812,0.91
38,61 Vir b,61 Vir,4.215,Radial Velocity,0.050201,0.12,2.11,5.1,0.94
39,61 Vir c,61 Vir,38.021,Radial Velocity,0.2175,0.14,4.46,18.2,0.94
40,61 Vir d,61 Vir,123.01,Radial Velocity,0.476,0.35,5.11,22.9,0.94
52,AU Mic b,AU Mic,8.4629991,Transit,0.0645,0.186,3.957,20.12,0.5
53,AU Mic c,AU Mic,18.858991,Transit,0.1101,0.00338,3.24,9.6,0.5
54,AU Mic d,AU Mic,12.73596,Transit Timing Variations,,0.00305,1.02,1.053,0.51
121,CoRoT-7 b,CoRoT-7,0.85359163,Transit,0.017016,0.0,1.681,4.07661,0.82
122,CoRoT-7 c,CoRoT-7,3.698,Radial Velocity,0.046,0.0,2.83,8.4,0.9
123,CoRoT-7 d,CoRoT-7,8.966,Radial Velocity,,,4.31,17.142,0.92
130,DMPP-1 b,DMPP-1,18.57,Radial Velocity,0.1462,0.083,5.29,24.27,1.21
131,DMPP-1 c,DMPP-1,6.584,Radial Velocity,0.0733,0.057,3.06,9.6,1.21
132,DMPP-1 d,DMPP-1,2.882,Radial Velocity,0.0422,0.07,1.65,3.35,1.21
133,DMPP-1 e,DMPP-1,5.516,Radial Velocity,0.0651,0.07,1.86,4.13,1.21
145,EPIC 201754305 d,K2-16,2.71578,Transit,,,1.03,1.08,0.67
150,EPIC 206024342 b,EPIC 206024342,4.50756,Transit,,,1.7,3.53,0.93
151,EPIC 206024342 c,EPIC 206024342,0.911724,Transit,,,1.4,2.54,0.93
152,EPIC 206024342 d,EPIC 206024342,14.647531,Transit,,,2.6,7.27,0.93
179,EPIC 249893012 b,EPIC 249893012,3.5951,Transit,0.047,0.06,1.95,8.75,1.05
180,EPIC 249893012 c,EPIC 249893012,15.624,Transit,0.13,0.07,3.67,14.67,1.05
181,EPIC 249893012 d,EPIC 249893012,35.747,Transit,0.22,0.15,3.94,10.18,1.05
189,GJ 1061 b,GJ 1061,3.204,Radial Velocity,0.021,0.31,1.1,1.37,0.12
190,GJ 1061 c,GJ 1061,6.689,Radial Velocity,0.035,0.29,1.18,1.74,0.12
191,GJ 1061 d,GJ 1061,13.031,Radial Velocity,0.054,0.53,1.16,1.64,0.12
204,GJ 163 b,GJ 163,8.63182,Radial Velocity,0.0607,0.073,3.25,10.6,0.4
205,GJ 163 c,GJ 163,25.63058,Radial Velocity,0.1254,0.099,2.5,6.8,0.4
206,GJ 163 d,GJ 163,603.95116,Radial Velocity,1.0304,0.373,5.92,29.4,0.4
