,Planet Name,Host Name,Orbital Period,Discovery Method,Semi-Major Axis (AU),Eccentricity,Radius (R_earth),Mass or Mass * sin(i) (M_earth),Stellar Mass (M_sun)
130,DMPP-1 b,DMPP-1,18.57,Radial Velocity,0.1462,0.083,5.29,24.27,1.21
131,DMPP-1 c,DMPP-1,6.584,Radial Velocity,0.0733,0.057,3.06,9.6,1.21
133,DMPP-1 e,DMPP-1,5.516,Radial Velocity,0.0651,0.07,1.86,4.13,1.21
208,GJ 180 b,GJ 180,17.133,Radial Velocity,0.092,0.07,2.43,6.49,0.43
209,GJ 180 c,GJ 180,24.329,Radial Velocity,0.129,0.09,2.41,6.4,0.43
210,GJ 180 d,GJ 180,106.3,Radial Velocity,0.309,0.14,2.66,7.56,0.43
280,GJ 667 C c,GJ 667 C,28.14,Radial Velocity,0.125,0.02,1.77,3.8,0.33
281,GJ 667 C e,GJ 667 C,62.24,Radial Velocity,0.213,0.02,1.45,2.7,0.33
282,GJ 667 C f,GJ 667 C,39.026,Radial Velocity,0.156,0.03,1.45,2.7,0.33
520,HD 108236 d,HD 108236,14.175685,Transit,0.1074,0.055,2.539,6.98,0.87
521,HD 108236 e,HD 108236,19.590025,Transit,0.1367,0.058,3.083,9.71,0.87
522,HD 108236 f,HD 108236,29.54115,Transit,0.1758,0.051,2.017,4.72,0.87
540,HD 110067 e,HD 110067,30.793091,Transit,0.1785,,1.94,3.9,0.8
541,HD 110067 f,HD 110067,41.05854,Transit,0.2163,,2.601,5.04,0.8
542,HD 110067 g,HD 110067,54.76992,Transit,0.2621,,2.607,8.4,0.8
824,HD 191939 c,HD 191939,28.579743,Transit,0.1752,0.034,3.195,8.0,0.81
825,HD 191939 d,HD 191939,38.353037,Transit,0.2132,0.031,2.995,2.8,0.81
826,HD 191939 e,HD 191939,101.12,Radial Velocity,0.407,0.031,13.0,112.2,0.81
898,HD 215152 b,HD 215152,5.75999,Radial Velocity,0.057638,0.0,1.19,1.819,0.77
899,HD 215152 c,HD 215152,7.28243,Radial Velocity,0.067393,0.0,1.17,1.72,0.77
900,HD 215152 d,HD 215152,10.86499,Radial Velocity,0.08799,0.0,1.48,2.801,0.77
901,HD 215152 e,HD 215152,25.1967,Radial Velocity,0.15417,0.0,1.51,2.877,0.77
954,HD 23472 b,HD 23472,17.667087,Transit,0.1162,0.072,2.0,8.32,0.67
955,HD 23472 c,HD 23472,29.79749,Transit,0.1646,0.063,1.87,3.41,0.67
958,HD 23472 f,HD 23472,12.1621839,Transit,0.0906,0.07,1.137,0.77,0.67
1537,K2-239 b,K2-239,5.24,Transit,0.0441,,1.1,1.37,0.4
